,image1,image2,label
0,ds/real/002/0002_01_00_01_311.jpg,ds/real/002/0002_01_00_01_335.jpg,1
1,ds/real/007/0007_01_00_01_399.jpg,ds/fake/007/0007_01_04_03_225.jpg,0
2,ds/real/002/0002_01_00_01_58.jpg,ds/fake/002/0002_01_02_03_373.jpg,0
3,ds/real/006/0006_00_06_03_105.jpg,ds/fake/006/0006_00_08_03_238.jpg,0
4,ds/real/006/0006_00_06_03_402.jpg,ds/fake/006/0006_00_04_03_237.jpg,0
5,ds/real/0013/0013_01_07_03_116.jpg,ds/fake/0013/0014_01_04_03_350.jpg,0
6,ds/real/001/0001_00_00_02_34.jpg,ds/fake/001/0001_00_01_03_185.jpg,0
7,ds/real/0011/0011_01_07_03_332.jpg,ds/real/0011/0011_01_07_03_166.jpg,1
8,ds/real/0010/0010_01_05_03_464.jpg,ds/fake/0010/0010_01_08_03_419.jpg,0
9,ds/real/001/0001_00_00_01_462.jpg,ds/fake/001/0001_00_04_03_387.jpg,0
10,ds/real/002/0002_01_00_01_343.jpg,ds/fake/002/0002_01_00_01_373.jpg,0
11,ds/real/001/0001_00_00_01_437.jpg,ds/fake/001/0001_00_00_01_233.jpg,0
12,ds/real/0025/128358923.jpg,ds/real/0025/128908978.jpg,1
13,ds/real/0020/3829.jpg,ds/real/0020/3849 2.jpg,1
14,ds/real/001/0001_00_00_02_298.jpg,ds/fake/001/0001_00_04_03_419.jpg,0
15,ds/real/004/0004_01_00_01_41.jpg,ds/fake/004/0004_01_03_03_446.jpg,0
16,ds/real/003/0003_01_00_01_139.jpg,ds/real/003/0003_01_00_01_278.jpg,1
17,ds/real/002/0002_01_00_01_311.jpg,ds/fake/002/0002_01_01_03_174.jpg,0
18,ds/real/0017/1519 2.jpg,ds/real/0017/1486 2.jpg,1
19,ds/real/004/0004_01_06_03_468.jpg,ds/fake/004/0004_01_02_02_84.jpg,0
20,ds/real/0018/1633 2.jpg,ds/fake/0018/1364 2.jpg,0
21,ds/real/006/0006_00_06_03_174.jpg,ds/real/006/0006_00_00_01_28.jpg,1
22,ds/real/006/0006_00_06_03_146.jpg,ds/real/006/0006_00_06_03_397.jpg,1
23,ds/real/006/0006_00_00_01_382.jpg,ds/fake/006/0006_00_03_02_91.jpg,0
24,ds/real/0015/0015_01_05_03_146.jpg,ds/fake/0015/0016_01_08_03_21.jpg,0
25,ds/real/0012/0012_01_07_03_243.jpg,ds/fake/0012/0012_01_08_03_363.jpg,0
26,ds/real/001/0001_00_00_02_2.jpg,ds/fake/001/0001_00_00_01_260.jpg,0
27,ds/real/005/0005_00_00_01_12.jpg,ds/fake/005/0005_00_04_03_39.jpg,0
28,ds/real/005/0005_00_00_01_473.jpg,ds/real/005/0005_00_00_02_26.jpg,1
29,ds/real/0015/0015_01_05_03_197.jpg,ds/fake/0015/0016_01_03_03_263.jpg,0
30,ds/real/004/0004_01_00_02_462.jpg,ds/fake/004/0004_01_03_03_256.jpg,0
31,ds/real/002/0002_01_00_01_206.jpg,ds/real/002/0002_01_00_01_441.jpg,1
32,ds/real/0012/0012_01_07_03_129.jpg,ds/fake/0012/0012_01_01_03_173.jpg,0
33,ds/real/0021/4867 2.jpg,ds/fake/0021/4480 2.jpg,0
34,ds/real/001/0001_00_00_01_112.jpg,ds/fake/001/0001_00_02_03_283.jpg,0
35,ds/real/007/0007_01_00_01_257.jpg,ds/fake/007/0007_01_01_03_393.jpg,0
36,ds/real/004/0004_01_06_03_445.jpg,ds/real/004/0004_01_00_02_488.jpg,1
